# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
  0x00007ff60ccb495a     32365913   8.7378e-38  59dded01
  0x00007ff60ccb495b       126429   1.7716e-40  dded0100
  0x00007ff60ccb495c          493   6.9084e-43  ed010000
  0x00007ff60ccb495d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4a20   -898759008  -3.8998e+06  a0066eca
  0x00007ff60ccb4a21   -305500666  -7.8311e+27  066ecaed
  0x00007ff60ccb4a22     32361070   8.7351e-38  6ecaed01
* 0x00007ff60ccb4a24          493   6.9084e-43  ed010000
  0x00007ff60ccb4a25   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4a88    820846352   1.7253e-09  101fed30
  0x00007ff60ccb4a89   -298783457  -1.3689e+28  1fed30ee
  0x00007ff60ccb4a8a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb4a8b       126512   1.7728e-40  30ee0100
  0x00007ff60ccb4a8c          494   6.9224e-43  ee010000
  0x00007ff60ccb4a8d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4b68    820842400   1.7248e-09  a00fed30
  0x00007ff60ccb4b69   -298783473  -1.3689e+28  0fed30ee
  0x00007ff60ccb4b6a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb4b6b       126512   1.7728e-40  30ee0100
  0x00007ff60ccb4b6c          494   6.9224e-43  ee010000
  0x00007ff60ccb4b6d  -1543503871  -2.7756e-17  010000a4
* 0x00007ff60ccb4d68    820841568   1.7248e-09  600ced30
  0x00007ff60ccb4d69   -298783476  -1.3689e+28  0ced30ee
  0x00007ff60ccb4d6a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb4d6b       126512   1.7728e-40  30ee0100
  0x00007ff60ccb4d6c          494   6.9224e-43  ee010000
  0x00007ff60ccb4d6d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb5d28   -898757968  -3.9001e+06  b00a6eca
  0x00007ff60ccb5d29   -305500662  -7.8311e+27  0a6ecaed
  0x00007ff60ccb5d2a     32361070   8.7351e-38  6ecaed01
* 0x00007ff60ccb5d2c          493   6.9084e-43  ed010000
  0x00007ff60ccb5d2d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb73c0   1060423210   7.0615e-01  2ac6343f
  0x00007ff60ccb73c1      4142278   5.8046e-39  c6343f00
  0x00007ff60ccb73c2        16180   2.2673e-41  343f0000
* 0x00007ff60ccb73c8   1448831280   6.0311e+13  30695b56
  0x00007ff60ccb73c9   -313107607  -4.1463e+27  695b56ed
  0x00007ff60ccb73ca     32331355   8.7184e-38  5b56ed01
  0x00007ff60ccb73cb       126294   1.7698e-40  56ed0100
  0x00007ff60ccb73cc          493   6.9084e-43  ed010000
  0x00007ff60ccb73cd   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb73d8   1517389648   1.6996e+16  5087715a
  0x00007ff60ccb73d9   -312839801  -4.2253e+27  87715aed
  0x00007ff60ccb73da     32332401   8.7190e-38  715aed01
  0x00007ff60ccb73db       126298   1.7698e-40  5aed0100
  0x00007ff60ccb73dc          493   6.9084e-43  ed010000
  0x00007ff60ccb73dd   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb73f0   1777164260   3.5871e+25  e45fed69
  0x00007ff60ccb73f1      6942047   9.7279e-39  5fed6900
* 0x00007ff60ccb7401   -312839784  -4.2253e+27  98715aed
  0x00007ff60ccb7402     32332401   8.7190e-38  715aed01
  0x00007ff60ccb7403       126298   1.7698e-40  5aed0100
  0x00007ff60ccb7404          493   6.9084e-43  ed010000
  0x00007ff60ccb7405   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb7410   1517140432   1.6728e+16  d0b96d5a
  0x00007ff60ccb7411   -312840775  -4.2250e+27  b96d5aed
  0x00007ff60ccb7412     32332397   8.7190e-38  6d5aed01
  0x00007ff60ccb7413       126298   1.7698e-40  5aed0100
  0x00007ff60ccb7414          493   6.9084e-43  ed010000
  0x00007ff60ccb7415     33554433   9.4040e-38  01000002
* 0x00007ff60ccb7420   1517138704   1.6727e+16  10b36d5a
  0x00007ff60ccb7421   -312840781  -4.2250e+27  b36d5aed
  0x00007ff60ccb7422     32332397   8.7190e-38  6d5aed01
  0x00007ff60ccb7423       126298   1.7698e-40  5aed0100
  0x00007ff60ccb7424          493   6.9084e-43  ed010000
  0x00007ff60ccb7425     33554433   9.4040e-38  01000002
* 0x00007ff60ccb7430   1517142736   1.6731e+16  d0c26d5a
  0x00007ff60ccb7431   -312840766  -4.2250e+27  c26d5aed
  0x00007ff60ccb7432     32332397   8.7190e-38  6d5aed01
  0x00007ff60ccb7433       126298   1.7698e-40  5aed0100
  0x00007ff60ccb7434          493   6.9084e-43  ed010000
  0x00007ff60ccb7435     33554433   9.4040e-38  01000002
* 0x00007ff60ccb7548   1448434832   5.8648e+13  905c5556
  0x00007ff60ccb7549   -313109156  -4.1458e+27  5c5556ed
  0x00007ff60ccb754a     32331349   8.7184e-38  5556ed01
  0x00007ff60ccb754b       126294   1.7698e-40  56ed0100
  0x00007ff60ccb754c          493   6.9084e-43  ed010000
  0x00007ff60ccb754d   1090519041   8.0000e+00  01000041
* 0x00007ff60ccb7a40   1515630992   1.5108e+16  90b1565a
  0x00007ff60ccb7a41   -312846671  -4.2233e+27  b1565aed
  0x00007ff60ccb7a42     32332374   8.7190e-38  565aed01
  0x00007ff60ccb7a43       126298   1.7698e-40  5aed0100
