# 35761 addresses changed in all 3 diffs
# values from level17.snap; addr  int32_le  float32  hex
  0x00007ff60ccb4a89    773707002   3.5887e-11  fad41d2e
  0x00007ff60ccb4a8a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccb4a8b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccb4a8c          558   7.8192e-43  2e020000
* 0x00007ff60ccb4b68    500497104   5.6375e-21  d0fad41d
  0x00007ff60ccb4b69    773707002   3.5887e-11  fad41d2e
  0x00007ff60ccb4b6a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccb4b6b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccb4b6c          558   7.8192e-43  2e020000
* 0x00007ff60ccb4d69    773707007   3.5887e-11  ffd41d2e
  0x00007ff60ccb4d6a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccb4d6b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccb4d6c          558   7.8192e-43  2e020000
* 0x00007ff60ccb5d28  -1241977904  -1.8546e-06  d0ebf8b5
  0x00007ff60ccb5d29    766900459   2.0688e-11  ebf8b52d
  0x00007ff60ccb5d2a     36550136   1.2762e-37  f8b52d02
  0x00007ff60ccb5d2b       142773   2.0007e-40  b52d0200
  0x00007ff60ccb5d2c          557   7.8052e-43  2d020000
* 0x00007ff60ccb73c0   1024573898   3.5585e-02  cac1113d
  0x00007ff60ccb73c1      4002241   5.6083e-39  c1113d00
  0x00007ff60ccb73c2        15633   2.1906e-41  113d0000
* 0x00007ff60ccb73c8     60924528   9.5000e-37  70a2a103
  0x00007ff60ccb73c9    755212706   7.4824e-12  a2a1032d
  0x00007ff60ccb73ca     36504481   1.2711e-37  a1032d02
  0x00007ff60ccb73cb       142595   1.9982e-40  032d0200
  0x00007ff60ccb73cc          557   7.8052e-43  2d020000
* 0x00007ff60ccb73d9    755212711   7.4824e-12  a7a1032d
  0x00007ff60ccb73da     36504481   1.2711e-37  a1032d02
  0x00007ff60ccb73db       142595   1.9982e-40  032d0200
  0x00007ff60ccb73dc          557   7.8052e-43  2d020000
* 0x00007ff60ccb73f0   1777153617   3.5846e+25  5136ed69
  0x00007ff60ccb73f1      6942006   9.7278e-39  36ed6900
* 0x00007ff60ccb7400     60925488   9.5009e-37  30a6a103
  0x00007ff60ccb7401    755212710   7.4824e-12  a6a1032d
  0x00007ff60ccb7402     36504481   1.2711e-37  a1032d02
  0x00007ff60ccb7403       142595   1.9982e-40  032d0200
  0x00007ff60ccb7404          557   7.8052e-43  2d020000
* 0x00007ff60ccb7410    127649520   2.3439e-34  f0c69b07
  0x00007ff60ccb7411    755473350   7.7085e-12  c69b072d
  0x00007ff60ccb7412     36505499   1.2712e-37  9b072d02
  0x00007ff60ccb7413       142599   1.9982e-40  072d0200
  0x00007ff60ccb7414          557   7.8052e-43  2d020000
* 0x00007ff60ccb7421    755473365   7.7085e-12  d59b072d
  0x00007ff60ccb7422     36505499   1.2712e-37  9b072d02
  0x00007ff60ccb7423       142599   1.9982e-40  072d0200
  0x00007ff60ccb7424          557   7.8052e-43  2d020000
* 0x00007ff60ccb7430    127651680   2.3444e-34  60cf9b07
  0x00007ff60ccb7431    755473359   7.7085e-12  cf9b072d
  0x00007ff60ccb7432     36505499   1.2712e-37  9b072d02
  0x00007ff60ccb7433       142599   1.9982e-40  072d0200
  0x00007ff60ccb7434          557   7.8052e-43  2d020000
* 0x00007ff60ccb7548     60375872   9.0080e-37  40439903
  0x00007ff60ccb7549    755210563   7.4805e-12  4399032d
  0x00007ff60ccb754a     36504473   1.2711e-37  99032d02
  0x00007ff60ccb754b       142595   1.9982e-40  032d0200
  0x00007ff60ccb754c          557   7.8052e-43  2d020000
* 0x00007ff60ccb7a41    755467594   7.7035e-12  4a85072d
  0x00007ff60ccb7a42     36505477   1.2712e-37  85072d02
  0x00007ff60ccb7a43       142599   1.9982e-40  072d0200
  0x00007ff60ccb7a44          557   7.8052e-43  2d020000
* 0x00007ff60ccb7a50    125988704   1.9626e-34  606f8207
  0x00007ff60ccb7a51    755466863   7.7028e-12  6f82072d
  0x00007ff60ccb7a52     36505474   1.2712e-37  82072d02
  0x00007ff60ccb7a53       142599   1.9982e-40  072d0200
  0x00007ff60ccb7a54          557   7.8052e-43  2d020000
* 0x00007ff60ccb7ae8     60926640   9.5019e-37  b0aaa103
  0x00007ff60ccb7ae9    755212714   7.4824e-12  aaa1032d
  0x00007ff60ccb7aea     36504481   1.2711e-37  a1032d02
  0x00007ff60ccb7aeb       142595   1.9982e-40  032d0200
  0x00007ff60ccb7aec          557   7.8052e-43  2d020000
* 0x00007ff60ccb82d0   1061775890   7.8677e-01  126a493f
  0x00007ff60ccb82d1    306137450   6.0359e-28  6a493f12
  0x00007ff60ccb82d2   1779580745   4.4201e+25  493f126a
* 0x00007ff60ccb82d4   1061775890   7.8677e-01  126a493f
  0x00007ff60ccb82d5      4147562   5.8120e-39  6a493f00
  0x00007ff60ccb82d6        16201   2.2702e-41  493f0000
* 0x00007ff60ccb8324   1062219656   8.1323e-01  882f503f
  0x00007ff60ccb8325      4149295   5.8144e-39  2f503f00
  0x00007ff60ccb8326        16208   2.2712e-41  503f0000
* 0x00007ff60ccb8a80     27384336   5.9455e-38  10daa101
  0x00007ff60ccb8a81    755081690   7.3687e-12  daa1012d
  0x00007ff60ccb8a82     36503969   1.2711e-37  a1012d02
  0x00007ff60ccb8a83       142593   1.9982e-40  012d0200
  0x00007ff60ccb8a84          557   7.8052e-43  2d020000
* 0x00007ff60ccb8ac0           79   1.1070e-43  4f000000
* 0x00007ff60ccb8ad0    127690400   2.3533e-34  a0669c07
  0x00007ff60ccb8ad1    755473510   7.7086e-12  669c072d
  0x00007ff60ccb8ad2     36505500   1.2712e-37  9c072d02
  0x00007ff60ccb8ad3       142599   1.9982e-40  072d0200
  0x00007ff60ccb8ad4          557   7.8052e-43  2d020000
* 0x00007ff60ccb8af1    774902458   4.0034e-11  ba12302e
  0x00007ff60ccb8af2     36581394   1.2797e-37  12302e02
  0x00007ff60ccb8af3       142896   2.0024e-40  302e0200
  0x00007ff60ccb8af4          558   7.8192e-43  2e020000
* 0x00007ff60ccb8b50     60965136   9.5364e-37  1041a203
  0x00007ff60ccb8b51    755212865   7.4825e-12  41a2032d
  0x00007ff60ccb8b52     36504482   1.2711e-37  a2032d02
  0x00007ff60ccb8b53       142595   1.9982e-40  032d0200
  0x00007ff60ccb8b54          557   7.8052e-43  2d020000
* 0x00007ff60ccb95b8   1911552352   2.3766e+30  60f9ef71
  0x00007ff60ccb95b9    762441721   1.3753e-11  f9ef712d
  0x00007ff60ccb95ba     36532719   1.2743e-37  ef712d02
  0x00007ff60ccb95bb       142705   1.9997e-40  712d0200
  0x00007ff60ccb95bc          557   7.8052e-43  2d020000
* 0x00007ff60ccb9af8    154607360   2.2042e-33  001f3709
  0x00007ff60ccb9af9    755578655   7.7998e-12  1f37092d
  0x00007ff60ccb9afa     36505911   1.2713e-37  37092d02
  0x00007ff60ccb9afb       142601   1.9983e-40  092d0200
  0x00007ff60ccb9afc          557   7.8052e-43  2d020000
* 0x00007ff60ccb9b08    159007344   3.0124e-33  70427a09
  0x00007ff60ccb9b09    755595842   7.8147e-12  427a092d
  0x00007ff60ccb9b0a     36505978   1.2713e-37  7a092d02
  0x00007ff60ccb9b0b       142601   1.9983e-40  092d0200
  0x00007ff60ccb9b0c          557   7.8052e-43  2d020000
* 0x00007ff60ccb9bb0    127694592   2.3542e-34  00779c07
  0x00007ff60ccb9bb1    755473527   7.7086e-12  779c072d
  0x00007ff60ccb9bb2     36505500   1.2712e-37  9c072d02
  0x00007ff60ccb9bb3       142599   1.9982e-40  072d0200
  0x00007ff60ccb9bb4          557   7.8052e-43  2d020000
* 0x00007ff60ccb9bb8    127690912   2.3534e-34  a0689c07
  0x00007ff60ccb9bb9    755473512   7.7086e-12  689c072d
  0x00007ff60ccb9bba     36505500   1.2712e-37  9c072d02
  0x00007ff60ccb9bbb       142599   1.9982e-40  072d0200
  0x00007ff60ccb9bbc          557   7.8052e-43  2d020000
* 0x00007ff60ccbbe81    757569079   9.5262e-12  3796272d
  0x00007ff60ccbbe82     36513686   1.2721e-37  96272d02
  0x00007ff60ccbbe83       142631   1.9987e-40  272d0200
  0x00007ff60ccbbe84          557   7.8052e-43  2d020000
* 0x00007ff60ccbbe89    757569080   9.5262e-12  3896272d
  0x00007ff60ccbbe8a     36513686   1.2721e-37  96272d02
  0x00007ff60ccbbe8b       142631   1.9987e-40  272d0200
  0x00007ff60ccbbe8c          557   7.8052e-43  2d020000
* 0x00007ff60ccbc428  -1673340160  -6.4472e-22  00db429c
  0x00007ff60ccbc429    765215451   1.7765e-11  db429c2d
  0x00007ff60ccbc42a     36543554   1.2755e-37  429c2d02
  0x00007ff60ccbc42b       142748   2.0003e-40  9c2d0200
  0x00007ff60ccbc42c          557   7.8052e-43  2d020000
* 0x00007ff60ccbc4a9    774864624   3.9903e-11  f07e2f2e
  0x00007ff60ccbc4aa     36581246   1.2797e-37  7e2f2e02
  0x00007ff60ccbc4ab       142895   2.0024e-40  2f2e0200
  0x00007ff60ccbc4ac          558   7.8192e-43  2e020000
* 0x00007ff60ccbc690    500505632   5.6410e-21  201cd51d
  0x00007ff60ccbc691    773707036   3.5887e-11  1cd51d2e
  0x00007ff60ccbc692     36576725   1.2792e-37  d51d2e02
  0x00007ff60ccbc693       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbc694          558   7.8192e-43  2e020000
* 0x00007ff60ccbc6c8    451636592   9.7371e-23  706deb1a
  0x00007ff60ccbc6c9    773516141   3.5225e-11  6deb1a2e
  0x00007ff60ccbc6ca     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccbc6cb       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbc6cc          558   7.8192e-43  2e020000
* 0x00007ff60ccbc700    500486912   5.6334e-21  00d3d41d
  0x00007ff60ccbc701    773706963   3.5887e-11  d3d41d2e
  0x00007ff60ccbc702     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccbc703       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbc704          558   7.8192e-43  2e020000
* 0x00007ff60ccbc780   1901635360   1.0728e+30  20a75871
  0x00007ff60ccbc781    762402983   1.3719e-11  a758712d
  0x00007ff60ccbc782     36532568   1.2743e-37  58712d02
  0x00007ff60ccbc783       142705   1.9997e-40  712d0200
  0x00007ff60ccbc784          557   7.8052e-43  2d020000
* 0x00007ff60ccbc8a8    451746208   9.8062e-23  a019ed1a
  0x00007ff60ccbc8a9    773516569   3.5226e-11  19ed1a2e
  0x00007ff60ccbc8aa     36575981   1.2791e-37  ed1a2e02
  0x00007ff60ccbc8ab       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbc8ac          558   7.8192e-43  2e020000
* 0x00007ff60ccbc8e0    412244048   3.7829e-24  50589218
  0x00007ff60ccbc8e1    773362264   3.4691e-11  5892182e
  0x00007ff60ccbc8e2     36575378   1.2791e-37  92182e02
  0x00007ff60ccbc8e3       142872   2.0021e-40  182e0200
  0x00007ff60ccbc8e4          558   7.8192e-43  2e020000
* 0x00007ff60ccbc968    500503760   5.6402e-21  d014d51d
  0x00007ff60ccbc969    773707028   3.5887e-11  14d51d2e
  0x00007ff60ccbc96a     36576725   1.2792e-37  d51d2e02
  0x00007ff60ccbc96b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbc96c          558   7.8192e-43  2e020000
* 0x00007ff60ccbc9a0    597987760   1.7843e-17  b091a423
  0x00007ff60ccbc9a1    774087825   3.7208e-11  91a4232e
  0x00007ff60ccbc9a2     36578212   1.2794e-37  a4232e02
  0x00007ff60ccbc9a3       142883   2.0022e-40  232e0200
  0x00007ff60ccbc9a4          558   7.8192e-43  2e020000
* 0x00007ff60ccbca60    451647200   9.7437e-23  e096eb1a
  0x00007ff60ccbca61    773516182   3.5225e-11  96eb1a2e
  0x00007ff60ccbca62     36575979   1.2791e-37  eb1a2e02
